皮肤id,皮肤名称,阶级（1稀有；2史诗；3传说；4限定）,门客id,资质技能,光环技能,动态效果（1:可升级动态 0:无）,升级动态消耗,对应红颜皮肤,升级等级,皮肤介绍,关联的道具id,事迹信息,特殊加成技能,资质技能共享(1:共享 0:不共享),共享技能门客
number,string,number,number,string,string,number,string,number,number,string,number,string,string,number,string
ID,name,step,hid,skills,ghs,dynamic,consume,wsid,up_lv,intro,itemid,message,special_skill,sk_share,share_heros
1,气定神闲,1,1,"{id=1,s=2}",ssss,0,ssss,0,5,使用后可解锁5星武力书籍《老神在在》,1001,得知大少奶奶喜好文采，来福便每天打扮成这一形象，实际上是大字不识一个。,ssss,0,ssss
2,英雄侠义,1,2,ssss,ssss,0,ssss,0,5,使用后可解锁5星武力书籍《锦毛鼠》,1002,白玉堂英雄侠义，初登场，就显其慧眼，与有志有德的贫寒书生颜查散结为兄弟，并为其鸣冤，多方救助，但又少年心性要面子，曾因败给北侠欧阳春而要上吊自尽。最后，为探谋反朝廷的襄阳王的虚实，三闯冲霄楼，不知所踪。,ssss,0,ssss
6,神勇捍敌,1,6,ssss,ssss,0,ssss,0,5,使用后可解锁5星武力书籍《精武门》,1006,英国大力士奥皮音来上海愿与华人角力。于言谈中，带多少轻蔑口吻，翌日见于报端，沪人哗然。霍元甲接到邀请，便携其徒赶到上海商谈比武事宜，并商定用摔跤方式，以身跌于地分胜负，比赛的时间已到，但奥皮音并没有来。就这样，霍元甲名扬上海。,ssss,0,ssss
16,名门公子,1,16,ssss,ssss,0,ssss,0,5,使用后可解锁5星武力书籍《一门三探花》,1016,李寻欢，家住「李园」，那里气象恢宏，宅第连云，庭园林木之胜，更冠於两河，门上更写有「一门七进士，父子三探花」的字样。「小探花」李寻欢辞去了官职，在家里疏财结客，他的慷慨与豪爽，就算孟尝复生、信陵再世，只怕也比不上他。,ssss,0,ssss
43,尽忠报国,1,43,ssss,ssss,0,ssss,0,5,使用后可解锁5星武力书籍《从戎报国》,1043,从平定军突围回到家乡的岳飞目睹了金人入侵后人民惨遭杀戮、奴役的情形，心中愤慨，意欲投军，又担忧老母年迈，妻儿力弱，在兵乱中难保安全。岳母姚氏是位深明大义的妇女，积极勉励岳飞“从戎报国”，还为岳飞后背刺上“尽忠报国（后世演义为‘精忠报国’）”四字为训。,ssss,0,ssss
44,断案神探,1,44,ssss,ssss,0,ssss,0,5,使用后可解锁5星智力书籍《大理寺寺丞》,1044,狄仁杰刚到大理寺，积压的案件已非常多。他一心扑在工作上，夜以继日，笔不停批，整整奋战了一年，就把积压案件全都清理了，涉案人员达17000人之多，事后竟然一个喊冤的都没有。数量之多，质量之好，在当时传为佳话。,ssss,0,ssss
45,战无不胜,1,45,ssss,ssss,0,ssss,0,5,使用后可解锁5星武力书籍《兵仙》,1045,韩信熟谙兵法，自言用兵“多多益善”，作为战术家韩信为后世留下了大量的战术典故：明修栈道，暗渡陈仓、临晋设疑、夏阳偷渡、木罂渡军、背水为营、拔帜易帜、传檄而定、沈沙决水、半渡而击、四面楚歌、十面埋伏等。其用兵之道，为历代兵家所推崇。,ssss,0,ssss
46,逐鹿中原,1,46,ssss,ssss,0,ssss,0,5,使用后可解锁5星武力书籍《讨伐吕布》,1046,进攻久与他为敌的吕布。在曹军攻势之下，吕布军上下离心，十二月，吕布部将魏续、宋宪等生擒陈宫归降曹操。吕布见大势已去，下城投降。曹操初步控制了徐州。,ssss,0,ssss
47,巨鹿之战,1,47,ssss,ssss,0,ssss,0,5,使用后可解锁5星武力书籍《坑杀降卒》,1047,项羽率领全部兵马渡河，与秦军大战九次，章邯破走，项羽率军继续北上进攻王离。楚兵以一当十，呼声动天，打退章邯后，诸侯军受到了极大的鼓舞，与项羽一起进攻王离，斩杀苏角，并生擒王离，大破秦军后，项羽于辕门召见诸侯将领，诸将无不跪着前来，不敢仰视项羽。,ssss,0,ssss
401,贪欲无艺,3,1,ssss,ssss,1,ssss,0,5,使用后可解锁5星武力书籍《贪得无厌》，全属性光环《贪得无厌》,1801,来福背着老爷存了个小金库，中饱私囊，这些老爷都不知道。,ssss,0,ssss
436,西凉雄狮,3,36,ssss,ssss,1,ssss,0,5,使用后可解锁5星武力书籍《一骑当先》，全属性光环《一骑当先》,1836,马超少年成名，与刘备军合围成都，汉中之战后联名上书尊刘备为汉中王。蜀汉建立后，官至骠骑将军、斄乡侯。,ssss,1,ssss
437,没金饮羽,3,37,ssss,ssss,1,ssss,0,5,使用后可解锁5星武力书籍《一骑当先》，全属性光环《一骑当先》,1837,老将说黄忠，收川立大功。重披金锁甲，双挽铁胎弓。胆气惊河北，威名镇蜀中。临亡头似雪，犹自显英雄。,ssss,1,ssss
438,三分天下,3,38,ssss,ssss,1,ssss,0,5,使用后可解锁5星政治书籍《谋定天下》，全属性光环《谋定天下》,1838,诸葛亮三分天下，汉中之战以刘备的胜利告终。七月，刘备自称汉中王。至此，完全实现了诸葛亮在“隆中对策”中制定的“跨有荆、益”的战略目标。,ssss,1,ssss
439,翔凤连环,3,39,ssss,ssss,1,ssss,0,5,使用后可解锁5星政治书籍《谋定天下》，全属性光环《谋定天下》,1839,ssssssss,ssss,1,ssss
443,怒发冲冠,3,43,ssss,ssss,1,ssss,0,5,使用后可解锁5星武力书籍《精忠报国》，全属性光环《精忠报国》,1843,靖康耻，犹未雪。臣子恨，何时灭。驾长车，踏破贺兰山缺。壮志饥餐胡虏肉，笑谈渴饮匈奴血。待从头、收拾旧山河，朝天阙。,ssss,0,ssss
601,花好月圆,4,50,ssss,ssss,1,ssss,601,5,使用后可解锁7星魅力书籍《花好月圆》。同时拥有花好月圆 孙尚香(门客)(佳人)装扮可获得光环《巾帼须眉》,2201,大胜曹操军的赤壁之战虽成了孙吴势力的基石，但刘备却也因此成了不可小看的实力。对此，以怀柔政策之一环，孙尚香受父兄之命嫁给刘备。过了一段时间后，孙尚香终于也与刘备心心相通。,ssss,1,ssss
